Indicator
#1-1-1
#16-2-3
#16-3-1
#16-3-2
#16-6-2
#17-1-2
#17-14-1
#17-17-1
#17-18-2
#17-18-3
#17-19-1
#17-3-2
#17-4-1
#17-5-1
#17-9-1
#3-3-5
#3-4-2
#3-7-2
#3-b-3
#3-d-1
#4-1-1
#4-1-2
#4-5-1
#4-6-1
#4-7-1
#4-b-1
#5-1-1
#5-2-1
#5-3-1
#5-3-2
#5-4-1
#5-6-1
#5-a-1
#5-a-2
#5-b-1
#5-c-1
#6-1-1
#6-3-1
#6-3-2
#6-4-1
#6-4-2
#6-5-1
#6-5-2
#6-6-1
#6-a-1
#6-b-1
#7-1-1
#7-1-2
#7-2-1
#7-3-1
#7-a-1
#7-b-1
#8-1-1
#8-10-1
#8-10-2
#8-2-1
#8-3-1
#8-4-1
#8-4-2
#8-5-1
#8-5-2
#8-6-1
#8-7-1
#8-8-1
#8-8-2
#8-a-1
#8-b-1
#9-1-1
#9-1-2
#9-2-2
#9-3-1
#9-3-2
#9-4-1
#9-a-1
#9-b-1
#DEV6-1-1
#DEV6-2-1
#DEV6-3-2
#DEV6-4-1
#DEV6-4-2
#DEV6-4-3
#DEV6-5-1
#DST5-1-1
#DST5-2-1
#DST5-2-2
#DST5-3-1
#DST5-4-1
#DST5-5-1
#DST5-6-1
#DST5-7-1
#DST5-7-2
#DST5-7-3
#ECO1-1-1
#ECO1-10-1
#ECO1-11-1
#ECO1-11-2
#ECO1-12-1
#ECO1-12-2
#ECO1-13-1
#ECO1-2-1
#ECO1-3-1
#ECO1-4-1
#ECO1-5-1
#ECO1-6-1
#ECO1-6-2
#ECO1-6-3
#ECO1-7-1
#ECO1-7-2
#ECO1-8-1
#ECO1-9-1
#ENV3-1-1
#ENV3-1-2
#ENV3-10-1
#ENV3-11-1
#ENV3-2-1
#ENV3-3-1
#ENV3-3-2
#ENV3-4-1
#ENV3-5-1
#ENV3-5-2
#ENV3-6-1
#ENV3-7-1
#ENV3-8-1
#ENV3-9-1
#ENV3-9-2
#ENV3-9-3
#FIN7-1-1
#FIN7-2-1
#RES4-1-1
#RES4-1-2
#RES4-2-1
#RES4-3-1
#RES4-3-2
#RES4-4-1
#RES4-5-1
#RES4-6-1
#RES4-7-1
#RES4-8-1
#SOC2-1-1
#SOC2-10-1
#SOC2-10-2
#SOC2-11-1
#SOC2-12-1
#SOC2-12-2
#SOC2-13-1
#SOC2-2-1
#SOC2-3-1
#SOC2-3-2
#SOC2-4-1
#SOC2-4-2
#SOC2-5-1
#SOC2-5-2
#SOC2-5-3
#SOC2-6-1
#SOC2-7-1
#SOC2-7-2
#SOC2-8-1
#SOC2-8-2
#SOC2-9-1
#SOC2-9-2
